text,url,description,parent_section,link_type,page_title
"Order regarding the Sh. Sher Mohammad , NCERT",https://ncert.nic.in/pdf/announcement/notices/order_reg_7312-24_06_01.pdf,,,internal,NCERT
Notice regarding the Technical/Assistant Officers of CIET,https://ncert.nic.in/pdf/announcement/notices/NOTICE_CIET_4938_27-12.pdf,,,internal,NCERT
Results of the Selection Test for admission into the Diploma Course in Guidance and Counselling (2025),https://ncert.nic.in/dcgc.php,,,internal,NCERT
"Order regarding the officials transferred to RIE, Mysuru",https://ncert.nic.in/pdf/announcement/notices/Order_Officials-transferred_Dated_06-12.pdf,,,internal,NCERT
Circular regarding the instructions pertaining to leave matter are not being complied with by the faculty members,https://ncert.nic.in/pdf/announcement/notices/Circular_Reg_leave_107_06_12.pdf,,,internal,NCERT
"Order regarding the Dr. Pratyusha Kumar Mandal , NCERT",https://ncert.nic.in/pdf/announcement/notices/Order_Reg_PKM_352_04_12.pdf,,,internal,NCERT
"Order regarding the Dr. Sharad Sinha , NCERT",https://ncert.nic.in/pdf/announcement/notices/Order_Reg_SS_353_04_12.pdf,,,internal,NCERT
"Order regarding the Dr. Ranjana Arora, NCERT",https://ncert.nic.in/pdf/announcement/notices/Order_Reg_RA_354_04_12.pdf,,,internal,NCERT
Introduction of Jaadui Pitara as a Teaching Learning  Material for Foundational Stage,https://ncert.nic.in/pdf/announcement/notices/Notice_Letter_Commissioner_KVS_03_12.pdf,,,internal,NCERT
NCERT Research Associate 2024 -English,https://ncert.nic.in/pdf/notice/RA_2024_English.pdf,,,internal,NCERT
